Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
5,51,Yes,5,7,38
6,62,Yes,8,2,49
3,54,No,8,7,35
9,72,No,7,1,73
5,96,Yes,4,4,81
8,52,No,9,4,47
1,62,No,5,6,36
5,77,No,7,4,63
3,71,Yes,9,8,52
1,84,No,7,2,58
4,89,Yes,7,8,77
5,74,No,6,0,58
7,40,Yes,6,2,33
1,86,Yes,7,3,67
3,97,Yes,6,5,76
2,84,No,5,9,62
9,44,No,4,7,37
6,96,No,9,6,86
3,52,Yes,5,7,37
8,93,No,4,5,88
8,44,No,6,5,38
2,99,Yes,9,5,76
6,71,No,5,2,57
7,90,Yes,8,9,82
2,60,No,7,3,35
2,63,Yes,4,5,41
1,99,Yes,4,6,75
8,57,No,8,2,51
1,60,Yes,8,3,34
9,93,No,7,5,92
6,49,No,6,0,39
7,63,No,5,6,56
7,79,No,5,0,69
3,86,Yes,5,9,69
2,60,Yes,6,8,40
9,64,Yes,7,9,63
8,91,No,5,8,86
7,99,No,4,8,89
9,96,Yes,4,3,94
4,98,Yes,4,1,79
4,62,No,8,6,44
1,61,No,8,3,33
8,43,No,6,4,36
3,73,Yes,5,0,50
7,95,No,8,9,94
2,45,Yes,4,5,22
2,67,No,8,6,44
7,70,Yes,4,2,60
6,74,No,5,9,64
3,78,Yes,6,1,58
9,81,Yes,7,9,78
6,62,Yes,7,6,51
6,45,No,4,0,30
1,55,Yes,8,1,29
4,41,Yes,8,2,22
6,63,No,4,3,51
6,56,Yes,5,4,45
5,84,Yes,4,3,70
1,40,No,5,9,10
8,45,Yes,6,2,38
5,44,No,6,0,30
5,96,Yes,4,6,82
7,84,No,6,9,74
4,99,Yes,8,5,87
6,94,Yes,5,1,77
4,89,Yes,7,1,72
3,68,No,7,2,51
7,51,Yes,6,7,40
8,78,Yes,5,7,72
4,86,No,8,9,68
2,42,No,7,9,22
3,87,No,8,9,67
1,40,Yes,8,9,18
8,66,Yes,7,7,64
3,87,Yes,7,6,66
7,63,No,6,1,50
5,83,No,5,0,68
5,58,Yes,4,5,44
7,98,Yes,5,7,90
9,47,No,4,0,41
5,94,No,7,2,83
1,83,No,8,0,57
1,86,Yes,5,9,64
2,41,No,8,8,18
6,69,No,5,6,62
9,69,No,9,7,66
8,88,No,5,8,85
5,78,Yes,8,2,62
1,84,No,9,9,62
7,71,Yes,6,1,62
5,40,Yes,7,5,26
6,77,No,6,4,66
7,52,No,6,3,43
3,50,Yes,5,5,30
3,49,No,7,5,25
5,87,Yes,9,2,77
6,98,No,5,1,88
9,65,Yes,4,8,62
5,95,Yes,5,7,82
1,94,Yes,9,3,73
4,59,No,8,5,44
5,56,Yes,5,2,40
5,56,Yes,4,7,39
7,43,No,5,2,34
4,44,No,9,1,27
1,99,Yes,4,6,73
5,62,Yes,7,2,46
7,85,No,9,8,78
6,91,Yes,5,2,80
5,49,No,4,7,33
4,85,No,9,1,68
2,67,No,7,8,45
4,72,Yes,8,0,56
3,82,No,6,2,58
1,65,Yes,4,1,37
8,94,Yes,8,6,88
5,89,No,7,4,75
4,87,No,8,7,70
8,68,No,5,1,62
7,66,No,6,7,57
2,57,Yes,4,6,32
1,79,Yes,9,4,53
4,99,No,7,1,82
8,49,Yes,6,9,41
2,97,No,7,6,75
3,81,Yes,8,9,63
1,44,Yes,7,3,17
1,49,Yes,7,3,24
3,89,No,8,7,69
5,60,Yes,8,5,47
3,63,Yes,6,8,43
1,77,Yes,4,1,48
1,42,Yes,8,4,17
8,79,No,6,5,75
2,70,Yes,7,7,54
3,80,No,7,3,59
2,76,No,9,6,56
3,41,Yes,5,6,20
7,41,Yes,8,3,34
1,78,No,6,0,54
8,88,No,9,2,83
2,81,No,6,1,59
3,83,Yes,4,2,63
9,73,Yes,9,4,72
7,81,No,6,0,70
4,59,No,8,4,41
5,72,No,6,1,54
2,43,Yes,5,3,21
8,84,Yes,7,5,83
4,83,No,7,8,64
9,50,Yes,9,9,51
5,81,No,6,5,66
9,86,Yes,6,9,83
4,44,No,6,1,26
5,64,Yes,6,7,49
9,88,Yes,5,4,85
8,99,Yes,8,8,95
3,76,Yes,5,9,56
1,73,Yes,5,8,50
3,48,Yes,5,3,23
4,45,Yes,7,0,26
2,57,No,5,8,30
1,53,No,6,8,28
7,58,No,5,7,48
8,53,Yes,6,4,46
7,79,Yes,9,4,73
5,56,Yes,8,9,45
1,99,No,7,5,76
7,74,No,8,0,71
7,68,No,9,8,60
9,81,No,8,4,77
3,56,No,7,6,36
9,98,No,6,7,96
1,82,Yes,9,4,62
1,47,No,9,2,22
4,40,Yes,6,5,21
9,84,No,6,6,79
6,92,No,7,3,82
3,75,Yes,5,8,55
1,46,Yes,4,3,22
4,85,Yes,5,9,70
9,44,No,5,1,37
3,63,No,8,8,42
9,67,Yes,4,3,64
7,82,No,6,3,72
4,56,Yes,5,9,42
3,76,No,7,0,56
5,59,No,5,1,43
5,42,No,6,2,24
3,76,Yes,5,6,55
9,65,No,9,8,64
4,54,Yes,8,4,34
5,90,Yes,8,3,78
4,87,Yes,5,1,71
5,47,Yes,8,6,33
7,52,Yes,7,5,46
9,87,Yes,4,6,86
7,42,Yes,5,7,34
5,40,Yes,7,8,26
7,48,Yes,9,9,44
5,70,No,7,4,53
3,80,Yes,7,4,61
7,93,No,9,3,84
2,65,Yes,6,2,40
9,56,No,5,6,53
1,95,No,5,4,67
6,73,No,5,6,58
7,48,No,4,1,41
8,95,No,7,8,89
9,90,No,5,8,85
2,52,Yes,8,8,33
2,44,Yes,6,4,20
5,80,Yes,9,9,66
5,52,Yes,9,8,38
6,40,Yes,4,0,25
3,64,Yes,9,1,43
8,86,No,6,9,79
1,43,Yes,7,4,16
6,75,No,9,4,67
4,91,No,9,5,80
1,49,No,8,7,26
7,67,No,7,0,57
9,96,No,5,9,91
4,45,No,6,8,29
4,66,Yes,9,3,48
6,95,No,8,7,84
3,51,No,6,4,33
6,91,Yes,4,0,82
7,87,Yes,8,8,81
3,42,Yes,4,7,24
7,85,Yes,9,4,81
3,72,Yes,8,3,54
2,49,Yes,5,7,25
4,70,Yes,6,8,53
8,54,No,6,6,48
9,46,Yes,7,3,40
7,75,No,8,6,66
1,53,Yes,8,5,29
3,95,Yes,4,2,73
9,87,No,8,9,89
1,53,Yes,6,2,27
9,42,Yes,8,0,40
8,88,Yes,7,4,83
1,92,Yes,7,7,69
6,85,Yes,6,5,72
5,89,Yes,6,7,77
6,42,Yes,6,6,32
5,61,No,8,1,49
6,58,Yes,8,7,44
5,74,No,5,3,57
5,51,No,9,4,34
4,93,No,9,7,76
3,44,No,4,4,22
3,49,No,8,4,30
4,80,No,5,5,67
9,72,No,5,6,71
2,52,Yes,7,8,29
9,74,Yes,8,6,74
1,90,Yes,5,5,67
1,71,No,7,9,46
5,50,Yes,4,3,34
6,87,No,7,9,76
6,77,No,4,1,64
3,63,Yes,9,8,46
7,74,No,9,9,68
9,58,No,6,4,58
8,45,Yes,6,4,41
6,79,No,7,2,64
8,93,Yes,6,2,84
5,84,No,8,0,70
8,83,No,7,4,77
4,81,Yes,5,2,60
8,74,Yes,8,1,65
2,43,Yes,7,8,21
5,72,No,9,9,60
9,52,No,4,5,48
4,95,Yes,6,2,77
6,75,Yes,6,6,63
1,93,Yes,6,8,68
9,82,No,7,8,81
1,58,No,8,0,29
5,82,Yes,4,1,66
4,51,Yes,6,7,36
3,50,Yes,8,0,29
6,45,No,5,2,32
2,51,Yes,9,6,31
3,66,Yes,5,7,45
5,80,Yes,4,4,65
9,64,No,6,1,57
2,81,No,5,2,58
8,42,Yes,9,8,38
2,42,No,8,9,22
5,59,Yes,8,6,48
7,67,Yes,5,0,59
8,62,Yes,6,2,58
1,87,Yes,9,8,62
6,42,No,4,6,30
1,81,Yes,6,1,56
2,63,Yes,7,5,40
1,82,No,5,8,59
5,79,Yes,7,3,65
9,45,No,5,9,43
6,59,Yes,4,1,48
1,50,Yes,6,2,24
1,71,Yes,9,6,51
2,99,Yes,6,3,81
9,66,No,5,6,62
3,60,Yes,8,4,43
1,83,No,7,7,63
5,87,No,9,7,73
7,89,No,9,4,76
6,52,Yes,6,6,43
1,61,No,6,5,34
5,74,No,5,7,57
5,86,No,8,8,72
6,61,Yes,7,4,47
3,67,Yes,8,6,52
5,60,No,9,0,49
7,85,No,8,7,77
5,57,Yes,5,2,41
5,70,No,8,0,56
5,99,No,7,5,89
3,85,No,9,7,65
1,76,Yes,4,2,49
5,60,No,9,0,48
9,53,No,4,2,47
1,64,Yes,7,4,37
3,66,No,9,7,48
4,79,Yes,9,8,61
1,99,Yes,9,8,77
1,99,Yes,9,3,75
8,62,No,5,7,57
2,70,No,6,4,45
8,86,No,9,2,82
7,99,No,5,4,90
2,68,No,7,1,42
6,86,No,9,5,74
6,69,No,8,0,60
3,90,No,9,5,73
2,65,Yes,9,4,40
1,59,No,4,8,32
6,77,No,8,6,67
5,58,Yes,9,5,46
9,66,No,9,6,65
1,64,Yes,9,9,42
7,79,No,5,4,69
5,77,No,7,0,62
5,91,Yes,4,8,75
2,62,Yes,9,4,40
3,68,No,7,3,43
7,54,Yes,4,5,42
6,98,No,4,4,84
2,42,No,4,0,15
6,49,No,9,1,39
2,54,No,5,3,26
2,95,No,9,7,73
2,55,No,9,4,34
3,56,Yes,7,6,34
2,58,Yes,6,1,37
4,50,Yes,6,7,34
9,87,No,6,4,85
6,44,Yes,7,3,31
1,44,No,8,8,18
8,97,Yes,7,5,92
7,53,No,4,3,44
3,89,No,9,7,72
1,65,No,8,2,40
5,47,No,4,9,31
4,44,No,9,1,25
8,46,Yes,9,6,44
1,55,No,4,3,27
1,94,Yes,7,3,66
4,53,No,6,9,34
8,76,No,8,8,70
5,95,No,9,1,81
2,80,Yes,5,0,56
6,43,No,9,6,30
5,75,Yes,6,7,60
2,87,No,9,2,64
3,95,Yes,5,1,74
9,56,Yes,7,3,52
7,86,Yes,9,1,84
7,75,No,8,1,66
6,45,No,7,4,32
8,55,Yes,5,9,47
4,68,No,4,4,51
8,75,No,9,7,67
4,77,No,7,8,57
8,76,Yes,9,1,71
9,87,Yes,8,0,86
3,96,No,9,2,77
3,87,Yes,7,5,72
2,49,No,6,4,24
3,80,No,7,7,60
3,75,Yes,5,7,55
5,68,Yes,7,1,54
5,53,No,8,8,39
2,43,No,7,3,19
6,83,No,7,0,68
5,95,Yes,8,1,83
6,81,Yes,7,5,72
1,75,No,8,4,49
5,89,No,5,6,74
9,84,Yes,8,8,86
2,52,No,5,5,26
1,85,Yes,5,5,60
9,57,Yes,8,1,54
9,72,No,7,6,73
9,60,No,9,1,61
6,55,Yes,6,6,45
8,54,No,9,7,57
1,93,Yes,8,0,68
4,96,Yes,7,8,72
1,44,Yes,5,7,17
8,45,No,4,8,37
1,77,No,6,4,54
3,42,No,9,3,22
4,87,Yes,7,0,73
8,51,Yes,6,8,47
6,75,Yes,4,3,63
7,72,Yes,4,3,63
8,75,No,4,3,68
2,72,No,9,1,52
8,70,No,8,3,64
3,60,Yes,6,1,38
7,66,Yes,8,7,60
3,66,No,4,6,45
7,47,Yes,7,9,39
2,95,No,4,1,75
6,76,Yes,8,1,67
3,71,Yes,4,1,48
3,65,Yes,4,0,44
9,41,Yes,8,5,37
7,51,Yes,8,5,41
5,61,No,7,0,47
7,56,No,8,0,45
9,46,No,7,5,43
1,82,Yes,5,5,54
7,43,No,5,3,32
6,76,No,8,2,64
9,77,Yes,4,8,74
1,71,Yes,6,5,50
4,50,No,4,0,33
9,40,No,8,2,36
4,64,No,7,0,45
3,81,No,4,2,58
9,91,No,5,1,85
2,63,Yes,9,4,41
4,92,No,8,2,78
6,82,No,4,6,63
2,95,No,9,7,76
8,56,No,4,6,51
8,47,No,7,1,36
1,98,No,7,9,74
3,84,Yes,7,9,65
9,66,Yes,9,6,65
5,91,Yes,6,9,79
6,57,No,9,2,46
4,66,No,8,6,47
2,61,Yes,8,0,42
8,55,No,5,1,46
6,41,No,5,9,34
5,44,No,8,0,27
9,57,Yes,4,8,52
1,42,Yes,8,1,17
5,66,Yes,6,1,53
6,93,No,5,5,84
5,56,Yes,5,6,39
6,55,Yes,9,1,44
6,45,Yes,5,3,36
7,90,No,8,2,81
4,46,Yes,5,4,30
8,89,Yes,5,8,80
7,53,No,9,1,41
9,77,Yes,8,4,77
7,79,No,4,7,69
3,54,No,5,5,34
3,86,Yes,5,3,64
8,86,Yes,5,9,78
5,87,Yes,6,7,74
4,72,No,8,2,52
8,82,Yes,5,3,76
6,66,Yes,6,8,53
2,68,Yes,4,4,46
4,96,No,4,5,77
4,76,No,9,1,59
6,44,No,9,8,35
6,68,Yes,9,7,61
1,71,Yes,6,6,46
8,99,No,4,8,97
6,92,Yes,9,4,86
3,45,Yes,7,4,24
9,41,No,9,8,37
2,45,No,4,4,18
8,85,No,7,8,84
3,82,Yes,6,0,59
5,43,Yes,7,9,29
6,95,Yes,4,9,84
6,68,No,5,7,60
4,98,No,7,2,78
3,64,Yes,4,7,46
4,48,No,9,4,31
1,95,No,5,1,68
4,42,Yes,6,8,25
1,65,No,6,3,37
1,87,Yes,8,6,62
6,82,No,6,7,69
5,66,Yes,8,6,50
4,75,No,6,5,55
3,71,Yes,6,6,54
1,40,No,6,3,12
6,96,No,8,9,88
2,92,No,9,0,69
8,93,No,8,4,88
5,55,No,7,7,41
7,90,Yes,4,9,83
2,87,Yes,4,5,62
8,50,Yes,9,4,45
2,65,No,4,1,42
4,79,Yes,6,9,65
1,94,No,9,4,73
5,40,No,4,9,23
9,65,Yes,8,2,61
1,67,Yes,7,1,41
9,92,No,5,2,85
8,97,No,7,3,93
6,48,Yes,4,1,35
7,99,Yes,9,3,92
3,98,No,4,3,79
1,83,No,8,5,57
5,61,Yes,7,4,49
2,47,No,8,6,28
5,97,No,8,6,85
8,88,Yes,5,2,82
9,81,Yes,8,8,80
2,66,No,8,6,41
3,78,No,5,6,57
3,58,Yes,6,1,41
1,64,No,6,9,43
8,77,Yes,9,2,73
6,60,No,5,2,46
8,63,Yes,9,5,61
9,63,No,9,3,61
5,99,No,8,3,87
3,99,No,9,0,78
5,58,Yes,4,5,43
5,89,Yes,7,7,75
5,86,Yes,4,7,72
3,41,No,4,7,18
4,53,No,8,4,36
9,92,Yes,7,9,92
9,71,Yes,9,5,71
2,81,No,7,4,58
8,71,No,9,3,69
8,67,No,6,3,58
7,87,No,5,3,74
8,78,Yes,8,3,72
3,79,Yes,9,5,61
6,81,No,9,5,74
1,86,No,7,4,60
7,79,No,8,8,70
1,52,Yes,9,7,27
9,51,Yes,6,9,49
1,47,No,4,5,17
1,54,No,9,8,34
7,65,No,7,4,51
2,51,No,6,9,27
5,82,No,8,3,67
8,90,No,9,5,84
8,85,Yes,6,3,81
3,66,Yes,6,7,45
7,57,Yes,6,6,50
3,84,No,6,4,67
6,75,No,6,9,67
6,88,No,6,5,77
3,90,Yes,5,6,70
7,66,No,8,1,59
3,48,Yes,4,8,27
8,94,No,8,6,88
4,78,No,7,7,60
1,40,No,7,4,14
4,46,Yes,8,2,27
7,65,Yes,6,1,54
4,46,Yes,5,1,32
6,91,No,4,2,79
9,46,Yes,9,0,44
1,47,No,9,0,20
5,55,No,6,6,42
7,42,Yes,8,9,33
1,84,Yes,9,7,58
4,49,No,8,5,31
6,89,No,5,6,75
2,46,No,5,0,22
5,60,No,8,0,46
1,92,Yes,6,8,68
6,76,Yes,6,4,66
6,70,Yes,6,6,60
4,62,No,9,5,44
8,96,No,4,3,90
4,66,No,4,0,47
8,95,Yes,6,3,88
8,61,No,8,9,56
5,78,No,5,9,66
4,96,Yes,7,7,78
2,66,Yes,5,0,43
3,93,No,5,1,72
3,88,Yes,7,7,69
4,43,No,6,1,24
4,63,Yes,5,9,47
5,62,No,7,8,45
4,87,Yes,9,2,72
8,58,Yes,8,2,51
6,81,Yes,8,5,73
6,42,Yes,8,2,28
8,66,No,6,8,56
7,42,No,5,7,29
8,67,Yes,5,3,60
2,56,No,4,5,28
9,70,Yes,8,7,66
1,49,Yes,6,3,21
8,88,No,7,4,84
4,61,No,6,6,42
4,69,No,5,7,51
5,88,No,8,6,74
8,60,No,4,7,50
5,75,No,9,3,62
8,92,No,6,0,90
1,62,Yes,4,5,32
9,77,No,5,4,71
6,51,Yes,7,3,37
3,64,No,6,1,42
8,93,No,9,0,85
9,96,Yes,5,8,96
6,59,Yes,8,1,51
7,88,Yes,6,8,82
1,88,Yes,4,5,64
5,81,No,6,5,67
5,46,No,5,1,32
4,68,Yes,5,5,50
6,87,Yes,4,2,73
7,68,No,9,6,62
9,52,No,5,9,48
1,42,Yes,6,3,20
6,41,No,9,8,33
7,55,No,4,4,43
3,69,Yes,5,9,49
8,77,Yes,5,2,70
5,45,Yes,6,0,28
9,84,Yes,5,0,82
5,46,No,6,3,29
9,44,Yes,8,9,42
4,95,No,9,9,79
9,46,No,6,3,41
5,73,No,7,8,61
9,71,No,5,7,69
3,88,Yes,8,3,68
4,52,No,9,5,38
9,69,Yes,4,6,67
6,64,No,7,9,54
2,60,Yes,4,7,39
7,99,No,7,3,93
2,98,No,8,0,76
2,60,Yes,9,4,39
1,67,Yes,8,0,38
3,87,Yes,8,3,69
6,97,Yes,7,6,88
8,59,No,6,6,54
9,73,No,9,0,68
7,44,No,4,8,33
4,57,No,6,1,40
6,99,No,6,4,87
5,78,Yes,5,5,64
8,82,Yes,4,0,70
1,96,No,7,1,70
1,96,Yes,5,6,72
6,50,No,5,5,38
2,93,No,8,5,71
5,56,Yes,7,5,40
1,87,No,6,6,58
7,84,Yes,9,9,77
1,61,No,6,8,38
4,76,Yes,6,8,60
9,59,No,8,1,57
1,87,No,6,1,63
4,99,Yes,4,4,82
6,93,No,6,9,84
6,93,No,6,6,84
8,87,Yes,4,2,77
1,87,Yes,8,2,61
7,85,Yes,5,3,73
1,45,No,7,2,15
7,73,Yes,8,2,64
3,53,Yes,6,7,33
8,87,Yes,5,6,78
3,62,No,7,6,43
1,59,Yes,7,9,34
8,52,No,7,1,48
3,86,No,4,8,66
2,83,Yes,4,5,60
1,80,No,5,2,53
3,71,No,6,8,51
2,65,No,5,8,43
2,89,No,6,5,68
6,92,No,8,9,80
1,53,Yes,7,5,26
2,91,Yes,7,7,70
6,96,Yes,4,7,85
3,75,No,8,5,57
4,47,Yes,9,6,30
1,79,No,8,3,56
8,61,No,6,0,53
7,61,No,8,3,52
7,55,No,4,7,47
3,66,Yes,6,7,48
3,95,No,5,1,78
2,99,Yes,6,6,79
1,99,Yes,5,0,75
7,49,No,9,1,40
7,64,Yes,6,7,59
2,70,Yes,7,9,49
7,60,Yes,9,3,48
8,66,No,5,2,60
1,56,No,4,1,29
9,72,No,9,5,68
7,70,Yes,9,3,63
3,89,Yes,9,2,71
8,81,No,5,2,76
7,65,No,5,9,57
8,60,Yes,6,2,54
6,75,No,7,7,61
9,40,No,9,8,34
5,43,Yes,6,8,32
3,43,Yes,6,4,23
3,65,No,7,0,44
1,43,No,6,9,18
8,88,No,7,4,82
2,48,No,4,0,18
3,69,Yes,7,8,52
8,90,No,8,9,88
8,84,No,7,7,78
4,43,Yes,7,6,26
4,44,Yes,8,1,26
5,84,Yes,7,1,74
6,62,Yes,5,3,52
5,55,Yes,6,8,40
7,61,Yes,6,8,54
2,76,Yes,4,7,51
7,47,No,4,4,35
7,87,No,8,6,79
1,72,Yes,5,8,45
7,94,No,4,2,81
5,99,No,6,3,87
3,77,Yes,4,1,56
3,82,Yes,4,8,65
4,55,Yes,7,6,38
2,44,Yes,4,5,17
2,55,Yes,8,4,35
1,46,No,6,6,20
5,90,No,8,2,75
4,40,Yes,8,4,26
2,48,Yes,9,1,23
3,57,No,5,4,38
7,84,No,9,6,78
7,97,No,9,9,91
4,86,Yes,7,6,67
5,42,Yes,8,8,31
5,63,No,5,2,49
6,67,Yes,6,7,57
9,49,No,6,4,45
2,48,Yes,5,6,22
5,52,Yes,8,0,35
3,87,No,8,0,65
4,74,No,7,3,53
6,93,Yes,7,4,79
8,62,No,9,9,57
1,86,Yes,6,2,58
8,56,No,7,5,50
7,85,No,5,2,75
1,46,Yes,6,4,17
2,91,Yes,8,0,70
3,55,Yes,6,2,36
1,92,No,4,6,61
9,79,No,6,2,78
8,75,Yes,7,4,71
2,59,No,5,6,36
9,63,Yes,8,1,63
7,86,Yes,8,2,78
9,44,Yes,7,3,39
6,84,Yes,7,4,70
6,45,Yes,7,8,34
4,67,No,4,8,49
2,98,No,5,3,71
7,44,Yes,4,8,34
5,88,No,7,3,77
6,78,Yes,5,1,67
